,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,content_age,is_movie,watch_category
3998,tm949267,Notes for My Son,MOVIE,['drama'],2020,0,1970-01-01 00:00:00.000000083,['drama'],['AR'],0.0,tt13353486,6.4,912.0,7.967,7.6,6,1,Average
3999,tm820116,Street Flow,MOVIE,"['drama', 'crime']",2019,0,1970-01-01 00:00:00.000000096,"['drama', 'crime']",['FR'],0.0,tt10958282,6.4,1509.0,17.115,7.1,7,1,Average
4000,ts314647,Patton Oswalt: I Love Everything,SHOW,[],2020,0,1970-01-01 00:00:00.000000053,[],[],1.0,0,0.0,0.0,0.0,0.0,6,0,Low Rated
4001,tm458363,Juanita,MOVIE,['drama'],2019,0,1970-01-01 00:00:00.000000090,['drama'],['US'],0.0,tt6155456,6.0,2336.0,7.276,5.2,7,1,Average
4002,ts236332,Absurd Planet,SHOW,['documentation'],2020,TV-PG,1970-01-01 00:00:00.000000020,['documentation'],['US'],1.0,tt12027008,3.9,1459.0,19.898,5.9,6,0,Low Rated
4003,ts89331,My Husband Won't Fit,SHOW,"['drama', 'romance']",2019,TV-MA,1970-01-01 00:00:00.000000034,"['drama', 'romance']",['JP'],1.0,tt10027946,6.7,798.0,6.306,6.1,7,0,Average
4004,ts254767,"Whose Vote Counts, Explained",SHOW,['documentation'],2020,TV-PG,1970-01-01 00:00:00.000000025,['documentation'],[],1.0,tt13005714,7.3,1139.0,4.348,7.4,6,0,Good
4005,tm856545,Intuition,MOVIE,"['thriller', 'crime']",2020,0,1970-01-01 00:00:00.000000116,"['thriller', 'crime']",['AR'],0.0,tt12282598,5.5,2613.0,13.733,6.3,6,1,Low Rated
4006,ts219422,When the Camellia Blooms,SHOW,"['comedy', 'drama', 'romance', 'thriller']",2019,0,1970-01-01 00:00:00.000000055,"['comedy', 'drama', 'romance', 'thriller']",['KR'],1.0,tt10826064,8.0,2371.0,6.611,8.3,7,0,Highly Rated
4007,tm886214,Mrs. Serial Killer,MOVIE,"['thriller', 'crime', 'drama']",2020,0,1970-01-01 00:00:00.000000106,"['thriller', 'crime', 'drama']",['IN'],0.0,tt10230426,5.3,19630.0,6.754,6.4,6,1,Low Rated
4008,ts237071,The Forest of Love: Deep Cut,SHOW,"['crime', 'horror', 'thriller', 'drama']",2020,TV-MA,1970-01-01 00:00:00.000000000,"['crime', 'horror', 'thriller', 'drama']",['JP'],1.0,tt12079236,6.8,426.0,4.584,6.9,6,0,Average
4009,tm425944,A Land Imagined,MOVIE,"['drama', 'thriller', 'european']",2019,0,1970-01-01 00:00:00.000000095,"['drama', 'thriller', 'european']","['SG', 'FR', 'NL']",0.0,tt8726116,6.2,1289.0,5.628,6.0,7,1,Average
4010,ts84639,revisions,SHOW,"['action', 'scifi', 'animation']",2019,TV-MA,1970-01-01 00:00:00.000000022,"['action', 'scifi', 'animation']",['JP'],1.0,tt9522354,5.9,598.0,7.336,7.0,7,0,Low Rated
4011,tm888080,The Last Days of American Crime,MOVIE,"['crime', 'thriller', 'action', 'drama', 'scifi']",2020,0,1970-01-01 00:00:00.000000149,"['crime', 'thriller', 'action', 'drama', 'scifi']",['US'],0.0,tt1552211,3.7,11227.0,8.27,6.6,6,1,Low Rated
4012,ts191285,The Prince of Tennis ~ Match! Tennis Juniors ~,SHOW,"['drama', 'sport']",2019,TV-PG,1970-01-01 00:00:00.000000045,"['drama', 'sport']",['CN'],1.0,tt10097916,7.6,206.0,4.438,9.2,7,0,Good
4013,tm925490,Ainu Mosir,MOVIE,['drama'],2020,0,1970-01-01 00:00:00.000000084,['drama'],"['JP', 'US', 'CN']",0.0,tt9140354,6.6,231.0,2.718,7.0,6,1,Average
4014,tm450095,37 Seconds,MOVIE,['drama'],2019,0,1970-01-01 00:00:00.000000115,['drama'],['JP'],0.0,tt6156138,7.4,2647.0,8.463,7.4,7,1,Good
4015,tm452867,Jo Pil-ho: The Dawning Rage,MOVIE,"['drama', 'thriller', 'action', 'crime']",2019,0,1970-01-01 00:00:00.000000127,"['drama', 'thriller', 'action', 'crime']",['KR'],0.0,tt7738048,6.3,2096.0,8.14,6.1,7,1,Average
4016,ts87372,Ultramarine Magmell,SHOW,"['action', 'fantasy', 'animation']",2019,TV-14,1970-01-01 00:00:00.000000024,"['action', 'fantasy', 'animation']",['JP'],1.0,tt11025120,6.0,610.0,20.071,6.9,7,0,Average
